"","classification","year","period","period_desc","aggregate_level","is_leaf_code","trade_flow_code","trade_flow","reporter_code","reporter","reporter_iso","partner_code","partner","partner_iso","second_partner_code","second_partner","second_partner_iso","customs_proc_code","customs","mode_of_transport_code","mode_of_transport","commodity_code","commodity","qty_unit_code","qty_unit","alt_qty_unit_code","alt_qty_unit","qty","alt_qty","netweight_kg","gross_weight_kg","trade_value_usd","cif_trade_value_usd","fob_trade_value_usd","flag"
"2375","H1",2000,2000,"2000",2,0,1,"Import",36,"Australia","AUS",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,2180405557,NA,NA,0
"2376","H1",2000,2000,"2000",2,0,2,"Export",36,"Australia","AUS",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,1034078486,NA,NA,0
"2377","H1",2000,2000,"2000",2,0,4,"Re-Import",36,"Australia","AUS",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,2498357,NA,NA,0
"2378","H1",2000,2000,"2000",2,0,1,"Import",40,"Austria","AUT",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,1586421540,NA,NA,0
"2379","H1",2000,2000,"2000",2,0,2,"Export",40,"Austria","AUT",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,1616205655,NA,NA,0
"2380","H1",2000,2000,"2000",2,0,1,"Import",44,"Bahamas","BHS",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,22572915,NA,NA,0
"2381","H1",2000,2000,"2000",2,0,2,"Export",44,"Bahamas","BHS",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,263966,NA,NA,0
"2382","H1",2000,2000,"2000",2,0,3,"Re-Export",44,"Bahamas","BHS",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,263666,NA,NA,0
"2383","H1",2000,2000,"2000",2,0,1,"Import",51,"Armenia","ARM",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,42281625,NA,NA,0
"2384","H1",2000,2000,"2000",2,0,2,"Export",51,"Armenia","ARM",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,1240907,NA,NA,0
"2385","H1",2000,2000,"2000",2,0,3,"Re-Export",51,"Armenia","ARM",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,30927,NA,NA,0
"2386","H1",2000,2000,"2000",2,0,1,"Import",52,"Barbados","BRB",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,32966061,NA,NA,0
"2387","H1",2000,2000,"2000",2,0,2,"Export",52,"Barbados","BRB",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,15368867,NA,NA,0
"2388","H1",2000,2000,"2000",2,0,3,"Re-Export",52,"Barbados","BRB",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,11400379,NA,NA,0
"2389","H1",2000,2000,"2000",2,0,1,"Import",56,"Belgium","BEL",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,4853739335,NA,NA,0
